Full Name,Account Name: Account Name,Appointed By,Voting Status,Special Role,Title,HeadshotURL
Anne Tilloy,RTE (Reseau de Transport dElectricite),Vote of TSC Committee,Voting Rep,None,Project manager,https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/annetill.png?v=1687888565289
Antonello Monti,RWTH Aachen University,Vote of TSC Committee,Voting Rep,Chair,Professor,https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/amonti.png?v=1686668890422
Art Pope,Google LLC,Membership Entitlement,Voting Rep,None,Member of Technical Staff,https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/artpope.1651852589979.png
Avi Allison,Microsoft Corporation,Membership Entitlement,Voting Rep,None,"Program Manager, Energy, Sustainability",https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/avi.allison.png?v=1687888615147
Benoît Jeanson,RTE (Reseau de Transport dElectricite),Membership Entitlement,Voting Rep,None,Enterprise Architect,https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/benoitjeanson.1686662665071
Boris DOLLEY,RTE (Reseau de Transport dElectricite),Vote of TSC Committee,Voting Rep,None,Director of Sustainable IT Strategy,https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/bdolley.png?v=1687888650677
Bryce Bartmann,Shell International Petroleum Company,Membership Entitlement,Voting Rep,None,Chief Digital Technology Advisor,https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/bryce.bartmann.png?v=1666876171968
carmen best,Recurve,Vote of TSC Committee,Voting Rep,None,VP of Policy & Emerging Markets,https://lh3.googleusercontent.com/a/AItbvmnFMHM7RkBVY6AukRGpqMIqmr6Y9jVV8FXtaYy2=s96-c
Jonas  van den Bogaard,Alliander,Membership Entitlement,Voting Rep,None,Open Source Office Lead,https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/jonas1991.png?v=1679415925618
Maarten Mulder,Alliander,Vote of TSC Committee,Voting Rep,None,PO Field Device Platforms,https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/maartenmulder.png?v=1683044464554
